An efficient hotel a short walk from Amstel Station,"Hotel Casa 400 is a very large property, with about 950 rooms, but the hotel is not at all chaotic and it is managed well.
The staff at reception were very efficient and helpful with tourists.
The property is modern and so are the rooms and furniture. We took a room and it was very spacious and comfortable, with fridge and safe. We appreciated very much the wifi in the room but Amsterdam is a constant have free wifi everywhere you go.
The hotel is a short walk from Amstel Station, a station where you can take a tram (about 15 min. Was in the center), metro, buses and intercity trains.
We loved it, the only flaw in the cleaning of the room: in 5 days were past the vacuum cleaner once. For the rest of Hotel Casa 400 is recommended. ",6.0,8.0,6.0,8.0,8.0,8.0,Felice_78,"Naples, Italy",TripAdvisor,2012-08-31
"Good hotel, location ok","This hotel is very nice.
The rooms are modern, decent sizes and good bathrooms. 
I had a double with a queen bed, all was clean.
I did not like that they never changed our drinking glasses, we stayed 4 nights.
The location is ok, very outside the center, but it's a 5 minutes walk to the Amstel metro station, also connects to Tram 12 that takes you to museum plaza!
I would suggest it :)
No idea about the breakfast, I did not include it in the price!",6.0,8.0,8.0,8.0,6.0,6.0,Debbie1990nau,"Milan, Italy",TripAdvisor,2013-06-29
GOOD FOR ALL!,"the hotel is a brand new, young and friendly staff (speaks English and a little Italian, but if you chew a little we understand very well), very good restaurant (we ate more meat and was very tasty), rooms and bathrooms very beautiful. Only one day did not change the towels. in front are building, they begin to work at 7:30 in the morning, but it was not a problem since you go to Amsterdam to visit and not to sleep (in each case ask them if they give you earplugs)! Breakfast excellent and plentiful. to get to downtown just go to the nearby Amstel station and you will find metro (51,52,53) and buses. I recommend you do OV card for tourists (24, 48, 72, 96 hours) and you will have all the unlimited transport for that period except the trains. excellent location, the center can be reached in 15 minutes by metro. latest gem ... the tea room, there is a kettle and all the rest! for me it was a great choice!",6.0,8.0,8.0,8.0,6.0,10.0,Riccardo G,"Piacenza d'Adige, Veneto, Italy",TripAdvisor,2012-08-25
"GOOD HOTEL, NEAR THE CENTER.","HOTEL MODERMO, FACILITIES COMFORTABLE, ELEGANT, FREE INTERNET SERVICE, NEAR A METRO STATION 5 MINUTES, THE CLEANING SERVICE TIMES DID NOT CHANGE OF TOWELS. HIDDEN HOTEL ANNOUNCEMENT IS NOT EASY TO FIND WHEN YOU COME IN METRO. IN GENERAL THE WELL SPENT.
VOLVERIA TO ARRIVE AT THE SAME HOTEL, I highly recommend it. ",6.0,8.0,,,,10.0,FERNANDO B,,Hotels.com,2011-09-01
Aardig Hotel,"Upon entering, we are knowledgeable about the hotel. We found it nice and groomed. Public transport was doing was well within 10 minutes walk you to the subway. Though it was unfortunate when we came back in the evening the bar was closed and we could drink or eat anything. More It was possible to order a pizza and come pick up at reception. The bed of the hotel was very good. What we found was a shame that there are bird droppings on the middle window and sat there on the nightstand circles were a drink, and that the curtains were not completely clean because we saw namely whitish chalky stuff down. The breakfast was tasty but a bit simple. In short slept well just too much money for what it is.",4.0,6.0,8.0,8.0,6.0,10.0,Madieke H,"Breda, The Netherlands",TripAdvisor,2013-04-02
Nice break,Just stayed here for 5 nights with friends and it was very good .Reception staff were very friendly. Rooms basic but were fine for us. If I had to gripe I would say they could have dusted a bit better. Anyway I would recommend this hotel. Also very near Amstel Station for convienience.,6.0,8.0,8.0,8.0,8.0,8.0,NorwichMags,Norwich,TripAdvisor,2013-07-28
initial discomfort for the rest well,"I stayed at this hotel the first week of August for 6 nights. The impact was tragic, as we found the sheet of the bed internally full of hair, although clearly clean and ironed. To our reporting the hotel staff immediately proceeded to change our room. For the rest of the hotel is nice and modern, the center of Amsterdam is easily accessible by metro and bus. Particular not to be missed, the nearby Amstel station is well connected to the airport Schiphol. I did not partake of the breakfast, but I had dinner once and I can only speak well of the kitchen. Large portions and quality ingredients, with the option of eating outdoors. advised",4.0,8.0,6.0,8.0,6.0,8.0,saimonsays,"Padua, Italy",TripAdvisor,2013-08-17
A great place to stay in Amsterdam,"We stayed at this hotel for a week in August 2012. The hotel is located 5 minutes walk away from Amstel railway station. We travelled to the hotel from Schiphol airport using the regional train to Amsterdam Centraal station, and then taking the Metro to the hotel. Although the Casa 400 isnÕt in the centre of Amsterdam it is only about 7 minutes away on the Metro and the trains run very often Ð about every 4 or 5 minutes. We found it to be very convenient and the Metro was very easy to use once we realised you have to check in and out through the gates marked ÔMetroÕ and not the ones marked ÔTrainÕ, otherwise you get trapped in at the other end and it wonÕt let you through the barriers!
Check in at the hotel was very easy and quick for us. However, lots of times we passed the reception and there were lots of people waiting. The queue didnÕt seem very organised by the hotel either. Be aware that there is a 5% city tax (that all Amsterdam hotels charge) which wasnÕt included in our pre-booking and we had to pay upon arrival. Our room was very basic, but a good size, bright and appeared clean (although the carpet could have done with a good hoover as when we reached onto the floor to pick up a dropped remote control our hands were dirty and we found a hair grip).  The beds werenÕt particularly comfortable, but werenÕt bad enough to ruin our nightÕs sleep. 
The room contained a safe, large enough to hold a 17Ó laptop and also a fridge which meant that we could buy drinks and food and keep them cool. We took a travel kettle with us and the Amstel railway station close by has a small Albert Heijn store from which we were able to buy fresh milk. The television could receive BBC1,BBC2 and BBC3 and BBC World News, although these werenÕt always reliable and  the picture disappeared for a few days in the middle of our stay! The bathroom contained a shower (which was nothing special) and a large sink and toilet. One day during our stay the bin in our room wasnÕt emptied, but this was sorted immediately after a quick call to reception who sent a cleaner up. 
The WiFi is free and varied between being fast and slow depending on the time of the day. The hotel offer a service where you can prebuy tickets to certain Amsterdam museums at reception. Unfortunately this was unavailable when we were there as the receptionist was unable to access the system. However, because of the free wifi that is available in the hotel, we were able to book our own tickets online and email them to reception. They promptly printed these out for us, which meant that we were able to save over an hour queuing at the Van Gogh museum and the Anne Frank house!
There is a room on each floor which has an iron available for people to use. There are no hairdryers provided, but you can borrow one from reception. There is some building work going on close to the hotel at the moment, but ear plugs are available for free at reception. In our experience though, the noise was nothing at all to worry about! There is an ice dispenser available for free on some of the floors of the hotel. There are 4 lifts in the hotel, but this didnÕt seem enough at busy times of day as often the lifts took a long time to arrive or were full when they did!
As mentioned earlier, the hotel is situated close to Amstel station, which means you can take the Metro straight into the centre. In addition, the Number 12 tram also stops at the station Ð this means you can be at the Museum Quarter in 15 minutes. The location was perfect for us, as it was away from the hustle and bustle of the centre, but close enough to be able to get swiftly to the places we wanted to on the Metro and Tram. 
There is an expensive restaurant on the ground floor and a bar on the first floor which serves simple snacks and meals. We didnÕt try out either option, but they seemed busy each time we passed. 
Overall, we were impressed by the Casa 400 and would definitely consider staying here again.",6.0,8.0,8.0,6.0,8.0,8.0,GyroscopeUK,"Birmingham, United Kingdom",TripAdvisor,2012-09-01
I didn't like and will not back,"Dereje Shitaw
I stayed on this Hotel for 3 nights. The hotel looks modern superficially. But the service and breakfast in particular are in big question mark. My bed sheets were not changed, the room was not cleaned very well. There are very few alternative to eat breakfast.  I don't recomend someone to book a room for more than one night. Dj",2.0,4.0,6.0,,,4.0,Merkato,"Oslo, Norway",TripAdvisor,2011-07-27
so-so,"the hotel is quite a way out from the center and you can walk to the metro station
the reception staff are friendly but the breakfast room is very bad!
the quality of the breakfast is not very good and the service is pretty bad.
the room is average, but above all they are doing right in front of the work and the rooms are not soundproof!
not really recommend the hotel for a visit to amsterdam ",6.0,4.0,4.0,,,6.0,cuddlesome_c,treviso,TripAdvisor,2011-08-22
Very good value for money,"We chose Casa 400, because it was by far the cheapest -. Although not as centrally located for the price of a few taxi rides we saved loose in the room.
Breakfast in the hotel is expensive - we just always somewhere else feasted about half the price.
Rooms were not cleaned well - even large spots on Nachtkasterl and something sticky on the door and vanity had been overlooked. In our complaint was the room and immediately took that right.
Practical: the entire window front is a tabletop (including cable plant for internet etc), so you really have a lot of storage space. Incidentally, boxes, etc., very large - so often what is really a problem in Amsterdam.
We had connecting rooms. There were double doors. This is well thought of in order to reduce noise, but as an actual connection unusable contrast to opening doors, both extremely stiff (you had to really lean against) and with automatic closers, who had quickly and very loud fall back into the lock the doors. No way to keep the doors open.
Total: very good and recommendable ",6.0,8.0,10.0,10.0,8.0,8.0,rokras,Wien,TripAdvisor,2011-11-03
Avoid it like the Plague!,"We stayed for four nights in June.  I'll start with the positives. It is a modern hotel with spacious rooms. 
However we encountered a number of problems whilst we were there. Firstly, we had booked a Double room and had a condirmation in our hand yet  reception would only give us gave us a Twin Bedroom. As this hotel caters for large overseas bus groups there were long time consuming lines at reception. The hotel   is a long way from the city centre, only one restaurant nearby,  so your only option is to take the metro to get anywhere. Fortunately, the metro is 5 minutes away.Perhaps the biggest problem of all was the building works going on next door. The noise would start early in the morning and continue into the late afternoon. A lot of  Loud pounding  and  banging. There was a huge crane on the building site so it appears the building works will continue for some time yet. We were disappointed with this hotel as it was our first time in Amsterdam.",6.0,4.0,4.0,,,4.0,255100Max,"Melbourne, Australia",TripAdvisor,2011-08-06
good as it be,"Staff is rude and not very helpful. Arrogant for doing nothing. Lasting impression were extremely poor- rubbish checking out system; never seen such organision! 
Absolutely no remorse from staff, probably due to them being so confused by their checking out system! Might have been a different story if we were in our other very normal car, as undoubtedly this would have had substantial damage! Good first impression. Turned up early to be allowed to check in- room clean n bed comfy- adequate bathroom. 
Not 1.9km from city- don't know how far but took us 1 hour to walk there and 1 hour to walk back, and noone tell us that there is a train nearby!",6.0,4.0,2.0,4.0,2.0,2.0,vanhiephoang,Hanoi/vietnam,TripAdvisor,2011-11-02
Great hotel ... too far,"The hotel itself is pretty good. Very modern, standard rooms on space but also furnished with modern gear. With respect to cleanliness, like everything in life, there are worse and better so I give it a 7. the receptionists if they deserve 10 all very friendly and attentive.
As I say, my only but, is the distance from the center. 30-40 would walk min. By bus arrive in 10-20. Removing this is a highly recommendable hotel for a few days in the city. Worth it. ",6.0,8.0,6.0,8.0,6.0,10.0,ClauFP19,"Salamanca, Spain",TripAdvisor,2013-08-07
Good value business hotel,"We stayed 2 nights in the hotel on a business trip to Amsterdam.First its location in Amstel seemed to be quite far from the center.We found however that the metro station is only at 5 minutes walk what is not bad at all. Besides the hotel rents bikes what is also a great way to get to the centre.
Otherwise the area does not offer many attractions.It also looks that there are contructions nearby and the hotel can be noisier in the mornings.Fortunately we did not experience it during our stay.
The room is rather large compared to the average Amsterdam hotel rooms although still modest in size.It was clean and looked like freshly renovated.Free wifi is available in the whole building.
The staff was friendly and helpful.
It is also important that the hotel has a garage what is almost impossible to get at a hotel closer to the centre.",6.0,8.0,8.0,6.0,6.0,8.0,Gabor274887,"Budapest, Hungary",TripAdvisor,2012-04-07
clean but very basic,"this a very basic overpriced hotel in the middle of nowhere. No character. You wouldn't know that you were in Amsterdam, Holland or even Europe.",6.0,4.0,2.0,4.0,4.0,2.0,michealCork_Ireland,"Cork, Ireland",TripAdvisor,2011-09-27
good for short trip,"We were only in Amsterdam for one night, so we weren't overly concerned with what the hotel would be like. Hotel Casa 400 was a perfectly fine hotel for a one night stay, and would probably also be good for business travel. The staff was friendly, helpful and spoke excellent English, but quite rude if you can not find your booking. The train, metro and bus station is five minute walk from the hotel, and the trip to Central Station takes less than 10 minutes. There is on-site, gated parking for 17,50 Euros per day, BF 15 EURO.
Our room was minimalist, but brightly colored chairs and brown-padded walls added a nice accent. Stay here if you enjoy being woken up by noisy students returning late to this building, which doubles up as halls of residence, for the nearby university.  
The air conditioning seems to work in parts of the hotel, in the parts that it does not work. The lifts in a morning are horrendous, We were on the third floor and waited 10 minutes before deciding to go up to go down and the beakfast, despite being give a ""Special Offer Discount"" upon arrival were basic and definitely did not cater for vegetarians with anything cooked. While the rooms were ok, the value stops there! In the summer it was hot, no fans available and only a small window vent. The vent could not be opened because some guest were allowed to party, loudly in front of the hotel until 2-3 am each morning. Would find guests or some people sitting or laying in the floors near elevators or guestrooms. 
There was also a large tabletop running along the window that would be great for business. The free Wi-Fi had a strong signal and worked great. The bed was incredibly firm- a little too firm for my taste, but my husband loved it. The aforementioned chairs, however, were horribly uncomfortable- fine enough for sitting it to put on your shoes, but not for long periods of time. 
If you're the type of traveler who just uses your room to sleep in, this is a great choice, but if you plan to spend lots of time in your room, you may want to consider somewhere else.",6.0,4.0,4.0,,,2.0,GerhardSchutz,"Ho Chi Minh City, Vietnam",TripAdvisor,2011-08-19
"Minimalist, no character, and poor service","I was in Amsterdam for business, and spent a week at the CASA.  Way too long to be there.
Its new, clean, and bright, but its more like student accommodation.
The rooms are small and boring, but there is free wifi throughout - rather frustrating that you have to re-authorize your device each time you go from one hotspot to another (e.g. room to bar or lobby), so with a smart phone you think you are connected but not really.
Breakfast is like a mad house free for all and was often out of fresh hot food items, whole fruits, and juices.
Food and service in the bar restaurant were both mediocre and hit and miss.  The bar/restaurant manager was good.
Its a pity but it seems that Amsterdam hotels survive on short stay tourists and conventions at the Rai - neither of which demand a good level of service.
I will not stay at the CASA in future.",6.0,4.0,6.0,4.0,4.0,4.0,David H,"Denver, Colorado",TripAdvisor,2012-09-14
"Our car and another five cars got broken into, won't be coming back","Unfortunately our car and another 5 five cars got broken into. We paid for privilege of having our car secured in the hotel underground car parking yet it got broken into. They have security cameras all over the place, I wonder how this happened?, We were given our room back for the rest of the day but they wanted us to leave ASAP, never mind you and your family traveling all the way back to your home country with a provisional window glass. Won't be coming back. Very bad experience.",2.0,2.0,2.0,,,2.0,M M,"Amsterdam, The Netherlands",TripAdvisor,2011-09-03
"catastrophic worth avoiding, thieves!","I booked in May to spend three days in August (with a lot of advances!): From August 12 to 15 with two girlfriends.
I called the morning of the 12th to confirm my booking and that we arrive late in the evening.
We arrived after a long voyge Friday 12 evening (very tired) and the reception informed us that nya more rooms available!
The reception does not apologize but told us that even when the first night will be free and we are accommodated in another hotel ...
When paying, so we each pay only 2 nights 3.
After I checked my bank statement and I noticed that the first night was also collected for me and my two girlfriends on my acct and another levy the following 2 nights!! (my card used for the booking)
We were then lied about their politics, have left us paid for two nights and then gently taken the first night.
THEY ARE THIEVES IS EXTREMELY BAD
Other details:
The service is the bare minimum, the towels are not changed even
This hotel is far from downtown, planning transport and train station if you want nightlife budget, then it's hell to get ",2.0,2.0,2.0,,,2.0,sarra m,"Strasbourg, France",TripAdvisor,2011-08-18
There is a thief amongst the staff,"I had a parcel delivered to the hotel. After being told about the rigorous process that is followed when a package is delivered (i.e filing etc), I was told by the manager on duty that a member of her staff had signed for the parcel. Only to be told that they have no idea where is was. The next day a different manager refused to acknowledge that the parcel had been received. Staff should be searched, and managers hired should have more integrity. Absolutely disgusted with the manner in which this was handled. Clearly they assume ownership of goods once delivered. Don't make this mistake. Spend a little more money, knowing your belongings won't be stollen by the staff at reception!!",6.0,2.0,2.0,6.0,6.0,2.0,Tesantha N,"Johannesburg, South Africa",TripAdvisor,2012-08-22
"good location, poor quality room","Asked for working safe and working fridge, but never got fridge fixed or replaced. Air conditioning not working, windows had locks on them, small crowded bathroom, tub did not drain very well, towels not very nice to use. Poor exchange rates for money at counter.",4.0,4.0,,,,4.0,Stephen,,Hotels.com,2012-06-01
